Time,Strain
1126259461.8999023,0.6761529773681896
1126259461.9001465,0.5618609697508633
1126259461.9003906,0.3469937358313394
1126259461.9006348,0.1125859965074845
1126259461.900879,-0.0577544771287625
1126259461.901123,-0.10666711082415495
1126259461.9013672,-0.02279619796360363
1126259461.9016113,0.15524119719992904
1126259461.9018555,0.3520302713782571
1126259461.9020996,0.48121390451142804
1126259461.9023438,0.4752903406464059
1126259461.902588,0.3093146926761662
1126259461.902832,0.010550230932648758
1126259461.9030762,-0.34915152082140577
1126259461.9033203,-0.6756947431420812
1126259461.9035645,-0.8823939723350733
1126259461.9038086,-0.9171718815932448
1126259461.9040527,-0.7784426055227625
1126259461.9042969,-0.5146521795452929
1126259461.904541,-0.20788378758113085
1126259461.9047852,0.05284860059223759
1126259461.9050293,0.19972329261403893
1126259461.9052734,0.20647699899654756
1126259461.9055176,0.09458832667158598
1126259461.9057617,-0.0763441613166177
1126259461.9060059,-0.23042597352294053
1126259461.90625,-0.30197226352235074
1126259461.9064941,-0.25782119452611985
1126259461.9067383,-0.10817045978781192
1126259461.9069824,0.09740944952358552
1126259461.9072266,0.2871849730319822
1126259461.9074707,0.3917713217163961
1126259461.9077148,0.3677269209786525
1126259461.907959,0.21244719623841551
1126259461.9082031,-0.0344433838214933
1126259461.9084473,-0.30349094130036025
1126259461.9086914,-0.517359104358685
1126259461.9089355,-0.6150197741736669
1126259461.9091797,-0.570294775821101
1126259461.9094238,-0.3988911254705304
1126259461.909668,-0.15200039376239333
1126259461.909912,0.10100968226820156
1126259461.9101562,0.2948056987731047
1126259461.9104004,0.3878305054621449
1126259461.9106445,0.37332899137938985
1126259461.9108887,0.27854163558977024
1126259461.9111328,0.1529584166418202
1126259461.911377,0.05004818531306524
1126259461.911621,0.00878949578117677
1126259461.9118652,0.041093713989579145
1126259461.9121094,0.12901546991919885
1126259461.9123535,0.23228593774970527
1126259461.9125977,0.30330404222159835
1126259461.9128418,0.30436530892358094
1126259461.913086,0.22131185430918116
1126259461.91333,0.06908510754675184
1126259461.9135742,-0.11260890091006595
1126259461.9138184,-0.27205279051602166
1126259461.9140625,-0.36247672553299537
1126259461.9143066,-0.35764951858613486
1126259461.9145508,-0.26097525199457455
1126259461.914795,-0.1050706680596996
1126259461.915039,0.058123577655646116
1126259461.9152832,0.17358150401768832
1126259461.9155273,0.2006025218537636
1126259461.9157715,0.1258250390838726
1126259461.9160156,-0.03231779432480793
1126259461.9162598,-0.22910836741535148
1126259461.916504,-0.407229193257249
1126259461.916748,-0.5142278585613947
1126259461.9169922,-0.5182140897191843
1126259461.9172363,-0.4169061892623328
1126259461.9174805,-0.23739115918875542
1126259461.9177246,-0.027016895650135597
1126259461.9179688,0.16134692393602718
1126259461.918213,0.2848004689288818
1126259461.918457,0.3218190670108577
1126259461.9187012,0.2763624375013123
1126259461.9189453,0.1740603137836844
1126259461.9191895,0.052448472021214124
1126259461.9194336,-0.051041155564946525
1126259461.9196777,-0.10930774162298001
1126259461.9199219,-0.11107638347571634
1126259461.920166,-0.060688915299454776
1126259461.9204102,0.026691259884778468
1126259461.9206543,0.13190666753655444
1126259461.9208984,0.23779876032706948
1126259461.9211426,0.3323281306137412
1126259461.9213867,0.4083350206591806
1126259461.9216309,0.4610422028001734
1126259461.921875,0.4853545238998886
1126259461.9221191,0.47493770675622793
1126259461.9223633,0.424022099723945
1126259461.9226074,0.33135096880342346
1126259461.9228516,0.20436817389875
1126259461.9230957,0.061232172589472944
1126259461.9233398,-0.0711648007172567
1126259461.923584,-0.16347624585777304
1126259461.9238281,-0.19291664378532938
1126259461.9240723,-0.15199294354660614
1126259461.9243164,-0.05353199341217936
1126259461.9245605,0.07049549925010058
1126259461.9248047,0.17685201872635203
1126259461.9250488,0.2237069005889118
1126259461.925293,0.18427934386318798
1126259461.925537,0.05692769521834193
1126259461.9257812,-0.13197967507288583
1126259461.9260254,-0.33389229205372206
1126259461.9262695,-0.4912855109469795
1126259461.9265137,-0.5544584625603981
1126259461.9267578,-0.4968299167011125
1126259461.927002,-0.3239542974188223
1126259461.927246,-0.07331833697530377
1126259461.9274902,0.19524542998190925
1126259461.9277344,0.41585228397573787
1126259461.9279785,0.5348608480902293
1126259461.9282227,0.5258549954124222
1126259461.9284668,0.39697222575380314
1126259461.928711,0.18848936909977126
1126259461.928955,-0.03858116974180714
1126259461.9291992,-0.21954240668253705
1126259461.9294434,-0.3037883206525004
1126259461.9296875,-0.26825737994343063
1126259461.9299316,-0.12286602001800215
1126259461.9301758,0.09337264702950798
1126259461.93042,0.3241093663921988
1126259461.930664,0.511628002181196
1126259461.9309082,0.6122787628697783
1126259461.9311523,0.6070152932137338
1126259461.9313965,0.5043544271450147
1126259461.9316406,0.3354815313169369
1126259461.9318848,0.14357336941002682
1126259461.932129,-0.029028154684380802
